cuda:0
Using device: cuda:0

1 Number of Devices Exists

Episode 399	Average Score: -45.63
Episode 400	Average Score: -44.88
Episode 401	Average Score: -44.20
Episode 402	Average Score: -43.60
Episode 403	Average Score: -43.40
Episode 404	Average Score: -43.25
Episode 405	Average Score: -42.79
Episode 406	Average Score: -42.69
Episode 407	Average Score: -42.29
Episode 408	Average Score: -41.68
Episode 409	Average Score: -41.33
Episode 410	Average Score: -40.91
Episode 411	Average Score: -40.90
Episode 412	Average Score: -40.50
Episode 413	Average Score: -40.17
Episode 414	Average Score: -40.20
Episode 415	Average Score: -39.78
Episode 416	Average Score: -39.78
Episode 417	Average Score: -39.58
Episode 418	Average Score: -39.54
Episode 419	Average Score: -39.57
Episode 420	Average Score: -39.62
Episode 421	Average Score: -39.60
Episode 422	Average Score: -39.60
Episode 423	Average Score: -39.26
Episode 424	Average Score: -38.71
Episode 425	Average Score: -38.66
Episode 426	Average Score: -38.67
Episode 427	Average Score: -38.76
Episode 428	Average Score: -38.44
Episode 429	Average Score: -38.05
Episode 430	Average Score: -38.09
Episode 431	Average Score: -38.16
Episode 432	Average Score: -38.31
Episode 433	Average Score: -38.37
Episode 434	Average Score: -38.37
Episode 435	Average Score: -38.11
Episode 436	Average Score: -37.94
Episode 437	Average Score: -37.92
Episode 438	Average Score: -38.09
Episode 439	Average Score: -38.07
Episode 440	Average Score: -37.72
Episode 441	Average Score: -37.82
Episode 442	Average Score: -37.88
Episode 443	Average Score: -37.89
Episode 444	Average Score: -37.76
Episode 445	Average Score: -37.79
Episode 446	Average Score: -37.80
Episode 447	Average Score: -37.67
Episode 448	Average Score: -37.28
Episode 449	Average Score: -37.02
Episode 450	Average Score: -36.87
Episode 451	Average Score: -36.76
Episode 452	Average Score: -36.51
Episode 453	Average Score: -36.20
Episode 454	Average Score: -36.26
Episode 455	Average Score: -36.43
Episode 456	Average Score: -36.13
Episode 457	Average Score: -36.17
Episode 458	Average Score: -36.60
Episode 459	Average Score: -36.91
Episode 460	Average Score: -37.16
Episode 461	Average Score: -36.97
Episode 462	Average Score: -36.78
Episode 463	Average Score: -36.61
Episode 464	Average Score: -36.63
Episode 465	Average Score: -36.44
Episode 466	Average Score: -36.34
Episode 467	Average Score: -36.16
Episode 468	Average Score: -36.34
Episode 469	Average Score: -36.21
Episode 470	Average Score: -36.07
Episode 471	Average Score: -36.10
Episode 472	Average Score: -35.88
Episode 473	Average Score: -35.79
Episode 474	Average Score: -35.84
Episode 475	Average Score: -35.95
Episode 476	Average Score: -36.09
Episode 477	Average Score: -36.19
Episode 478	Average Score: -36.12
Episode 479	Average Score: -36.17
Episode 480	Average Score: -36.19
Episode 481	Average Score: -35.80
Episode 482	Average Score: -35.71
Episode 483	Average Score: -35.75
Episode 484	Average Score: -35.67
Episode 485	Average Score: -35.66
Episode 486	Average Score: -35.64
Episode 487	Average Score: -35.57
Episode 488	Average Score: -35.78
Episode 489	Average Score: -35.69
Episode 490	Average Score: -35.56
Episode 491	Average Score: -35.69
Episode 492	Average Score: -35.69
Episode 493	Average Score: -35.80
Episode 494	Average Score: -35.80
Episode 495	Average Score: -35.67
Episode 496	Average Score: -34.98
Episode 497	Average Score: -34.97
Episode 498	Average Score: -34.92
